,title,price,description,date_posted,address,url,Description
58,Table saw stand,$200,,2022-11-03,"Milton, ON L9T4W5",https://www.kijiji.ca/v-power-tool/oakville-halton-region/table-saw-stand/1639215392,"Bought a few months ago still in near new condition. Not a scratch or dent in the frame. Selling because its too big for me to move around.
https://canadiantire.ca/en/pdp/maximum-easy-rise-table-saw-stand-with-2-wheels-0571655p.html
Pick up only."
59,WAGNER Heat Gun 1500W,$20,,2022-11-03,"Oakville, ON L6M",https://www.kijiji.ca/v-power-tool/oakville-halton-region/wagner-heat-gun-1500w/1639215135,WAGNER Heat Gun 1500W
60,Graco Ultra Cordless sprayer for sale FIRM,$700,,2022-11-03,"Brampton, ON L6S2Z6",https://www.kijiji.ca/v-power-tool/mississauga-peel-region/graco-ultra-cordless-sprayer-for-sale-firm/1639214472,"Selling this machine because I just bought a bigger sprayer. This machine was used once to do some doors and it was kept in really good shape. Selling it for 700$ with all the cartridges and both batteries plus the charger. Pretty much everything the sprayer came with.
Send me a message if interested.
Thank you"
61,DeWalt drills and driver set,$75,,2022-11-03,"Oakville, ON L6J 4A5",https://www.kijiji.ca/v-power-tool/oakville-halton-region/dewalt-drills-and-driver-set/1639214134,18 volt drill and driver combo incl. 3 batteries and charger. 14 volt drill with 2 batteries and charger. All still work well . good as back up set or for beginners.
62,Tools for sale,"$7,000",,2022-11-03,"Orangeville, ON L9W",https://www.kijiji.ca/v-hand-tool/oakville-halton-region/tools-for-sale/1617551062,"From Retired mechanic and bodyman all the tools any tradesman or apprentice would need $7000 cash for everything
519 938 2502"
63,Brand New Ridgid Dual 18v Rapid Charger Chemistry R840095,$40,,2022-11-03,"Richmond Hill, ON L4B 1Z8, Canada",https://www.kijiji.ca/v-power-tool/markham-york-region/brand-new-ridgid-dual-18v-rapid-charger-chemistry-r840095/1639213783,Brand new from kit. Already have one so don't need this one. Pick-up in the Bayview/16 area of Richmond Hill
64,Tile Saw for Sale in Good Condition $60,$60,,2022-11-03,"Mississauga, ON L4T 2T6, Canada",https://www.kijiji.ca/v-power-tool/mississauga-peel-region/tile-saw-for-sale-in-good-condition-60/1639212848,"Tile Saw for Sale in Good Condition $60
Reason for selling: it is no longer needed.
Pickup only. Cash payment preferred only.
If interested, please call or text me at 905-872-5626."
65,Prime Grip Nailer for Sale $100,$100,,2022-11-03,"Mississauga, ON L4T 2T6, Canada",https://www.kijiji.ca/v-power-tool/mississauga-peel-region/prime-grip-nailer-for-sale-100/1639212676,"Prime Grip Nailer for Sale $100
Reason for selling: it is no longer needed.
Pickup only. Cash payment preferred only.
If interested, please call or text me at 905-872-5626."
66,DEWALT CORDLESS BAND SAW,$225,,2022-11-03,"Toronto, ON M6K1L3",https://www.kijiji.ca/v-power-tool/city-of-toronto/dewalt-cordless-band-saw/1639212468,DCS371B BRAND NEW $225
67,Rigid 16 Gallon Stainless Steel Wet/Dry Vacuum for Sale.,$235,,2022-11-03,"5230 South Service Road, Burlington, ON",https://www.kijiji.ca/v-power-tool/oakville-halton-region/rigid-16-gallon-stainless-steel-wet-dry-vacuum-for-sale/1639212141,"Rigid Wet/Dry Vacuum for Sale with Brand New Attachment's and Filter. 6.5 Peak HP.
Selling @ Home Depot for $350.00 plus tax. Call or Text Steve @ 905-464-5374. Taking offers. This won’t last long."
68,PEX COMBO CRIMP TOOL,$45,,2022-11-03,"Etobicoke, ON M8W 3Z1",https://www.kijiji.ca/v-hand-tool/city-of-toronto/pex-combo-crimp-tool/1639211901,"Kit include a new:
-one Apollo PEX CRIMPING TOOL for 1/2"" and 3/4"" PEX pipe;
-crimp adjustment wrench;
If ad is up, it's still available for pick up in Southern Etobicoke, #427/QEW area.-GO-NO-GO sizing gauge;"
69,HILTI Rotary Hammer Drill,$350,,2022-11-03,"Oshawa, ON L1L",https://www.kijiji.ca/v-power-tool/oshawa-durham-region/hilti-rotary-hammer-drill/1638305788,"HILTI TE6-C DRS rotary hammer drill with case, 5/8” concrete drill bit included."
70,Wire staples for Arrow T50 H50 hammer,$20,,2022-11-03,"Toronto, ON M1W2N8",https://www.kijiji.ca/v-hand-tool/city-of-toronto/wire-staples-for-arrow-t50-h50-hammer/1538826269,Wire staples for Arrow T50 H50 hammer.
71,Milwaukee Super Sawzall 75th Anniversary Limited Edition,$75,,2022-11-03,"Burlington, ON L7M 4C7, Canada",https://www.kijiji.ca/v-power-tool/oakville-halton-region/milwaukee-super-sawzall-75th-anniversary-limited-edition/1639210991,Heavy Duty Super Sawzall; 75th Anniversary Limited Edition (1924-1999); made in the USA; corded/electric; 120 volts; used; working condition; operating manual and metal case included. 
72,Hegner Multimax-18 Scroll Saw,$950,,2022-11-03,"Scarborough, ON M1C 4K5",https://www.kijiji.ca/v-power-tool/city-of-toronto/hegner-multimax-18-scroll-saw/1639210782,"The best of scroll saws. Sells on Amazon for $1750 USD without the light I’m including. While this is an older model, it is lightly used and like new. Google it to see what it’s worth. I will consider “reasonable” offers. Comes with the stand, magnifying glass and light, manual and an assortment of blades."
73,MILWAUKEE SAWZALL,$75,,2022-11-03,"Burlington, ON L7M 4C7, Canada",https://www.kijiji.ca/v-power-tool/oakville-halton-region/milwaukee-sawzall/1639210307,Heavy Duty Super Sawzall; corded/electric; 120 volts; used; working condition; operating manual and metal case included. 
74,Torch and Pro Torch (full tanks) ,$100,,2022-11-03,"101 White Oaks Ct, Whitby, ON L1P 1A1, Canada",https://www.kijiji.ca/v-hand-tool/oshawa-durham-region/torch-and-pro-torch-full-tanks/1639210282,"Brand new used once, tanks are full ready to go spent 180$ on the bundle asking 100$ for the pair, price is firm. Thank-you! Message me here or text my number for fastest reply. You won’t beat this deal anywhere! "
75,"Makita drill. Great condition, perfect for all your needs",$160,,2022-11-03,"Mississauga, ON L5M 1E6",https://www.kijiji.ca/v-power-tool/mississauga-peel-region/makita-drill-great-condition-perfect-for-all-your-needs/1639210119,"Makita drill/mixer. Great condition. High torque spade (or D) handle. Excellent for mixing mortar or thin set, or for every day needs around the house. 24' long mixing paddle included.
Drill information - 120Volts, 8.5Amps, 1/2"", variable speed, model DS4012, corded"
76,Dewalt Tool Chest for Sale,$110,,2022-11-03,"5230 South Service Road, Burlington, ON",https://www.kijiji.ca/v-tool-storage-bench/oakville-halton-region/dewalt-tool-chest-for-sale/1639209903,Dewalt Tool Chest. Like new. Hardly used. Includes large assortment of tools included. Purchased for $149.00 plus tax. Text or call Steve @ 905-464-5374. Taking offers. This won’t last long.
77,DEWALT DCP580B 20V MAX Brushless Planer (Tool Only),$260,,2022-11-03,"North York, ON M2K 1A4",https://www.kijiji.ca/v-power-tool/city-of-toronto/dewalt-dcp580b-20v-max-brushless-planer-tool-only/1598215895,"Selling: Dewalt DCP580VB 20V Max Brushless Planer (Tool Only)
Condition: Like New - Used once
Price: $260https://www.homedepot.ca/product/dewalt-20v-max-xr-lithium-ion-cordless-brushless-3-1-4-inch-planer-tool-only-/1001039546"
78,Drywall ,"$1,050",,2022-11-03,"Truman Ave, Oakville, ON L6H 1Y7, Canada",https://www.kijiji.ca/v-hand-tool/oakville-halton-region/drywall/1639209287,"CAN-AM NYCOR hybrid SEMI AUTOMATIC DRYWALL KIT RETAIL $875 before hst
Marshalltown drywall taper semi automatic retail $350 before taxes
Both brand new if I was drywalling on a daily basis this is what I would be using it's not a trade I specialize in so I'm sure there is someone who would appreciate this on a daily basis Selling both as a kit for $1050"
79,Hyundai Generator 6250peak wattage,$750,,2022-11-03,"Fiori Dr, Vaughan, ON L4L 7L6, Canada",https://www.kijiji.ca/v-power-tool/markham-york-region/hyundai-generator-6250peak-wattage/1639209187,"Hyundai Generator for sale. Ideal for a house or cottage. 6250peak wattage.
No problem powering my home during a storm.
Almost a full tank of Fuel included.
All maintenance completed this summer. Only about 15hours on it.
Asking $750obo.
No trades cash sale. "
80,,,,,,https://www.kijiji.ca/v-hand-tool/oakville-halton-region/mastercraft-wrench-set-brand-new/1639208985,
81,,,,,,https://www.kijiji.ca/v-power-tool/oshawa-durham-region/biscuit-joiner/1639208906,
82,Autel ADAS (Advanced Driver Assistance system) Calibration tool,,,2022-11-03,"2410 Dunwin Drive, Mississauga, ON, L5L 1J9",https://www.kijiji.ca/v-tool-other/mississauga-peel-region/autel-adas-advanced-driver-assistance-system-calibration-tool/1593362941,"Autel ADAS (Advanced Driver Assistance system) Calibration tool new released! MA600 for Mobile service use and ADAS Advance for Shop use)CALL US NOW AT 844-776-8329, 905-569-8878VISIT OUR SHOWROOM OPEN 6 DAYS A WEEK 9:00AM to 6:00PM by appiontmentFINANCING OPTIONS AVAILABLEAutel MaxiSys ADAS Calibration ToolAdvanced Driver Assistance System (ADAS) is becoming standard equipment on todays new vehicles. These systems are designed to assist drivers to prevent collisions by displaying alerts, providing camera images or by taking instantaneous control of the vehicle. The Autel MaxiSys ADAS provides the original complete diagnostic functionality, comprehensive and precise ADAS calibration. With MaxiSys calibration tools and accurate software, Autel MaxiSys ADAS is an ideal calibration tool for collision repair, glass replacement and repair shops.Adaptive Cruise Control (ACC)Control system to automatically adjust vehicle speed to maintain a safe distance from vehicles ahead. Control is based on sensor information from on-board sensors.Lane Departure Warning (LDW)Warns driver when vehicle begins to move out of freeway lane. Designed to minimize causes collisions: driver error, distractions and drowsiness.Night Vision (NV)Uses a thermographic camera to increase a drivers perception and seeing distance in darkness or poor weather beyond the reach of the vehicles headlights.Around View Monitoring (AVM)Provides a virtual 360-degree scene of the car in birds-eye view. It assists drivers to park more easily by better understanding the vehicles surroundings.Blind Spot Detection (BSD)Vehicle-based sensor function that detects other vehicles located to the drivers side and vehicle rear, then post a proximity warning.Rear Collision Warning (RCW)Braking at standstill to avoid rear-end collisions. Alert when engine started and cannot turn off. Warn driver of vehicle approach from behind by rapid signal flash.HUD - Head Up Display (HUD)Vehicle speedometer or navigation details projected on the windshield as transparent display so the driver does not need to look away from the road while driving.___________________Protec Equipment Canada was established since 2013 in Toronto，Canada as a warehouse distributor for vehicle diagnostic scan tools such as Launch, Autel & Fcar as well as our own brand “Protec” products for wheel line service & maintenance tools & equipment in the Automotive aftermarket. Now we expanded two distribution centres in North America. One located in Toronto，Ontatio，Canada，one located in Baltimore，Maryland，United States.Protec Equipment is dedicated to offer best quality diagnostic tools and garage equipment and provide one stop shop service solutions to Canadian automotive repair facilities."
83,HILTI POS 180 robotic total station ,"$22,000",,2022-10-11,"Mississauga, ON L5A4K4",https://www.kijiji.ca/v-power-tool/mississauga-peel-region/hilti-pos-180-robotic-total-station/1636392690,"Product Description
HILTI POS 180 KEY TECHNICAL DATA:
Angle measurement accuracy (DIN 18723): 3 “
Magnification: 31 x
Distance measurement accuracy: ±2 mm + 2 ppm
FEATURES:
Measures distances to surfaces without need for reflectors
Target tracking with one-person operation
No locking required: simultaneous pivoting and targeting
Clearly legible touch screen with large characters and symbols, easy-to-follow graphics, intuitive guidance through measuring tasks
Unique, direct on-screen selection of layout points from CAD drawings imported from a PC
APPLICATIONS:
Laying out positions and levels for excavations and formwork and fastening points on floors and ceilings
Measuring offsets and slopes precisely
Transferring control lines and points vertically over several floor levels
As-built measurements, direct area measurement and planning
_________________________
POC 200 KEY TECHNICAL DATA
Display type: 7” 1024 x 600 hybrid reflective and transmissive with capacitive touchscreen
IP protection class: MIL-STD-810G
Operating temperature range: -22 – 140 °F
FEATURES & APPLICATIONS
Simple user interface, easy to use
Best screen visibility of all similar tools on the market
The POC 200 is ruggedly built from the inside out, with IP65 protection from dust and water and military-grade MIL-STD-810G certification
UPN319"
84,Brand New Electric Pallet Jacks In Stock-4400LBS-Lithium Battery,"$2,799",,2022-11-02,"Church Street North, Stouffville, ON",https://www.kijiji.ca/v-power-tool/city-of-toronto/brand-new-electric-pallet-jacks-in-stock-4400lbs-lithium-battery/1639071501,"Compact and easy to maneuver:
*Load capacity: 4400 LBS
*Fork Size: 45"" long
*Rechargeable battery: 20Ah Lithium Ion
*Drive motor: 0.75kW
*Wheel diameter 3.15""
*Weight (without battery): 302 lbs.
*Pickup or delivery availableWarehouse located at 70 Great Gulf Drive, Unit 65, Vaughan (407/Keele).
By appointment. Call/text us at: 416.871.0850WellLift.ca
70 Great Gulf Drive, Unit 65
Vaughan, ON
L4K 0K7 Canada
416.871.0850
judy@WellLift.ca
www.WellLift.caFull Specs for the E-Pallet Jack:Power: Electric
Operator type: Pedestrian
Load capacity / Rated load: 1.5 Q (t)
Load centre distance: 600 c (mm)
Load distance, centre of drive axle to fork 944 x (mm)
Wheelbase: 1243 y (mm)Service weight (without the battery): 137 kgWheels type: PU
Drive wheel size (diameter x width): 210mm x 70mm
Fork wheels size (diameter x width): 80mm x 60mm
Wheels, number front/rear (x=driven) 1x/4
Tread, rear: 400/535 b11 (mm): 400/535Lift height: 200mm
Height of tiller in drive position min/max: 740mm/1160mm
Lowered height: 85mm
Overall length: 1603mm
Length to face of forks: 453mm
https://youtube.com/watch?v=OaR7od0c7nYOverall width: 550mm/685mm
Ground clearance, centre of wheelbase: 35mm
Aisle width for pallet 1000mm x 1200mm crossways
Aisle width for pallet 800mm x 1200mm lengthways
Min. turning radius 1398mmTravel speed (laden/unladen): 4.2kg/4.5kg
Lifting speed (laden/unladen): 0.03m/s/0.041m/s
Gradeability (laden/unladen): 5%/10%
Service brake: ElectromagneticDrive motor rating S2 60min. 0.75kW
Lift motor rating at S3 15%: 0.8kBattery voltage / rated capacity: 24/20 V/Ah
Battery weight (+- 5%): 5.5kgBattery voltage / rated capacity: 24/30 V/Ah
Battery weight (+- 5%): 7kgBattery voltage / rated capacity: 24/40 V/Ah
Battery weight (+- 5%): 8.2kgType of drive control: DC
Sound level at driver's ear: <= 70 db(A)
Steering type: Mechanical steeringKeywords: pallet jack, pallet truck, pallet lift, electric, pump truck"
85,Direct Tools Canada Price Chop Up to 50% OFF Ryobi & Ridgid,,,2022-11-01,"Concord, ON L4K 1Y6",https://www.kijiji.ca/v-power-tool/markham-york-region/direct-tools-canada-price-chop-up-to-50-off-ryobi-ridgid/1638979828,"Come to Direct Tools Canada and shop from a wide assortment of Ryobi, and Ridgid Factory Blemished Power Tools.
*From Nov 1st - 3rd, you can save up to 50% on select Factory Blemished Power Tools!Call us at the store for pricing and availability at 905-597-3554.*Price Chop Sale offer valid 11/01/2022-11/03/2022 at 4:59 PM ESTDIRECT TOOLS CANADA
7855 Keele St. Unit #3
Vaughan
905-597-3554Mon-Sun, 9 am - 5 pm*Price Chop sale valid at Direct Tools Canada location only 11/01/2022 - 11/03/2022 4:59 PM EST. Address: 7855 Keele Street – Unit 3, Vaughan, Ontario, Canada. Cannot be combined with any other discount or offer. Excludes gift cards and prior purchases. Items designated with “final price“ are ineligible for promotion. Limit of 5 like items per customer. Exclusions apply."
86,Professional Landscape Startup For Sale,"$25,000",,2022-10-31,"Orangeville, ON L9W",https://www.kijiji.ca/v-tool-other/mississauga-peel-region/professional-landscape-startup-for-sale/1638881139,"We are a small family business upgrading our equipment for next season. If you see these machines listed that means they are all available. They have all been meticulously cared for and operated only by myself and trusted crew members. As these are small business owned, you can trust that I have personally overseen all maintenance and tune ups, 1 - 3 tune ups per season. They have been treated well and deserve a good new home. 4 Jerry cans come with as well. As well as an extra drive belt for the zero-turn.First $27k Offer takes everything. I will hold with a deposit. The next highest after a week will take it. Equipment will be ready to go after November 30th.After November 30th I will sell individually. I jumped to 6-figures with this setup in 2 years time. You can review our use with this equipment on our instagram athttps://www.instagram.com/warriorlandscaping/?hl=en1. 2017 Ferris IZ700 52"" 27.5HP Briggs Zero-Turn Mower. 260 hours.Add ons:
Striping kit and Turbo-Vac Bagging Attachment - ($4k in add ons)
MSRP: $15K
Price: $12k2. 2019 Ferris FW-35 48"" Walk Behind, Kawasaki 20.5 HP - 270 hours
Add ons:
Striping kit, XT Pro Slide Sulky (No walking, just glide and mow) Aluminum Bagger
($2k in add ons)
MSRP: $13K
Price: $10k3. Classen TA-25 Aerator,
MSRP: $3K
Price: $15004. Bluebird Aerator
MSRP: $3K
Price: $15005. 2019 Exmark 30"" Walk-behind Mower. Comes with bag, side chute and mulch plug.
MSRP: $3K
Price: $2.5k6. Stihl FS-94 Trimmer, Echo SRM3020, The Stihl is old but works, not the best for commercial, but good for your house, the Echo is mint.
MSRP: $2K
Price: $6007. GrassFlap Chute Blocker (Add on for either Mower to block the chute opening when mowing around gardens or trees. Foot Operated)
MSRP: $1K
Price: $7008. Stihl BR700 BlowerMSRP: $800
Price: $600"
87,Milwaukee Packout,$30,,2022-11-03,"Catherine Dr, Whitby, ON L1R 1L7, Canada",https://www.kijiji.ca/v-tool-storage-bench/oshawa-durham-region/milwaukee-packout/1639202239,"Selling one low profile parts organizer. Model # 48-22-8431. Gently used, just DIY. Works fine, just not needed. Comes as is, NO bins/trays.
Asking $30"
88,Professional wet tile saw ,$250,,2022-11-03,"Kesteven Crescent, Brampton, ON L6W 4E5, Canada",https://www.kijiji.ca/v-power-tool/mississauga-peel-region/professional-wet-tile-saw/1639202006,Working condition 
89,Graco paint sprayer ,"$2,200",,2022-11-03,"Vaughan, ON L6A3G7",https://www.kijiji.ca/v-power-tool/markham-york-region/graco-paint-sprayer/1639201857,"Graco Finishpro HVLP 9.5 Sprayer. Like new comes with two edge 11 plus guns, with 4 cups , one gravity feed cup. Extra tips and needle different size. And a 25’ hose, 12 liners for the cups.
Total value 3200 $"
90,Packout Rolling Tool Box,$90,,2022-11-03,"Whitby, ON L1R 1L7, Canada",https://www.kijiji.ca/v-tool-storage-bench/oshawa-durham-region/packout-rolling-tool-box/1639201820,"Selling one 22 inch rolling tool box. Model # 48-22-8426. Everything works as it should. Just not needed.
Asking $90"
91,RYOBI Glue Gun 18V ONE+ Compact. NEW IN SEALED PACKAGE!,$35,,2022-11-03,"North York, ON M6L",https://www.kijiji.ca/v-power-tool/city-of-toronto/ryobi-glue-gun-18v-one-compact-new-in-sealed-package/1639201663,"RYOBI Glue Gun 18V ONE+ Compact. NEW IN SEALED PACKAGE!
RYOBI introduces the new 18V ONE+ Compact Glue Gun. This Compact Glue Gun is compatible with any RYOBI 18V battery and charger. This professional Compact Glue Gun is designed to work with All-Purpose, High Strength Adhesives and more. This Compact Glue Gun detaches from its charging base to offer a lightweight and versitle tool that reduces user fatigue.
2-finger trigger for enhanced control
Lightweight to reduce user fatigue
Compact for user convenience
Designed for heavy duty gluing application
Runs off any RYOBI ONE+ 18V battery
Includes: (1) P306 Compact Glue Gun and Operator's manual"
92,"Self Piercing Eyelets Grommet Press,4dies,0,2,4,5,Poster_Banner",$219,,2022-11-03,"North York, ON M3J 1Y6",https://www.kijiji.ca/v-hand-tool/city-of-toronto/self-piercing-eyelets-grommet-press-4dies-0-2-4-5-poster_banner/1639201588,"The Brand New, 4dies, #0(1/4), #2(3/8), #4 (1/2), #5(5/8) Grommet Eyelets Press Self Piercing with FREE 400sets Grommets Eyelets for Poster/Banner/Curtain is ideal for your grommet needs, eg. banners,
poster, curtains, eyelets, foam core, coraplastic, card stock, etc, either for thin or thick materials with no need of separate punching tool. It comes with #0(1/4), #2(3/8), #4 (1/2), #5(5/8) dies and FREE 400sets self-piercing grommets eyelets (with flat washer).Self Piercing Grommet Press Key Features
* Self piercing grommets,punching closing w/same dies
* Metal based heavy duty grommet press
* Easy to operate
* Interchangeable Dies size:#0(1/4),#2(3/8),#4(1/2),#5(5/8)
* Thickness of punching media: up to the height of grommet barrel
* Works with vinyl, foam core, coraplastic, card stock, paper,fabric
* FREE 100sets #0 self-piercing grommets
* FREE 100sets #2 self-piercing grommets
* FREE 100sets #4 self-piercing grommets
* FREE 100sets #5 self-piercing grommetsPlease call 416-716-6948 before you come.
We have many other printing finishing, imprinting and sign making equipment and supplies. Please visit our website (http://www.focusbinding.com/) or contact us for more info.Focusbinding Factory Outlet:
105 St Regis Crescent South
Toronto, ON M3J 1Y6
(Free parking)Tel: 416-716 6948Store Hours:
Mon - Sat: 9:30am - 5:00pm
After Hours/Sun/Holidays: On Call"
93,RYOBI 4V QUICKTURN ELECTRIC SCREWDRIVER. NEW!,$35,,2022-11-03,"North York, ON M6L",https://www.kijiji.ca/v-power-tool/city-of-toronto/ryobi-4v-quickturn-electric-screwdriver-new/1639201333,"RYOBI 4V QUICKTURN ELECTRIC SCREWDRIVER. NEW!
BRAND NEW IN SEALED PACKAGE!
Ryobi 4-Volt Twist Screwdriver handle easily changes between a standard pistol grip drivers to a straight screwdriver to meet all of your screw driving needs. This comes complete with the twist screwdriver, charger and screw driving bits.
2-speed gearbox (200/600 RPM) (no load speed) for a wide range of applications
1/4 in. hex collet for fast and convenient bit changes
2-finger trigger for added speed control
New and improved GRIPZONE over mould for optimum grip and user comfort
QUICKTURN allows for easy change between standard driver to stick driver"
94,Handsaws,$15,,2022-11-03,"Toronto, ON M6S2W9",https://www.kijiji.ca/v-hand-tool/city-of-toronto/handsaws/1639201321,"Just 3 basic handsaws
All still work great
$15 for all 3 or best offer "
95,Japanese razor saw gyokucho,$20,,2022-11-03,"Glen Albert Dr, Toronto, ON M4B 1J2, Canada",https://www.kijiji.ca/v-hand-tool/city-of-toronto/japanese-razor-saw-gyokucho/1639200991,"Almost brand new gyokucho Razor saw. 9.5""
"
96,RYOBI 18V ONE+ Cordless LED Hybrid Panel Light. NEW!,$75,,2022-11-03,"North York, ON M6L",https://www.kijiji.ca/v-power-tool/city-of-toronto/ryobi-18v-one-cordless-led-hybrid-panel-light-new/1639200884,"RYOBI 18V ONE+ Cordless LED Hybrid Panel Light. NEW!
The RYOBI 18V ONE+ Cordles LED Hybrid Panel Light provides a convenient, portable light source around the house, workshop, or the jobsite. This battery-powered light features a high-intensity LED that emits bright, soft light on the entire work area and can be used in a high or low setting for customizing brightness. This worklight also incorporates an on-board handle to enable convenient storage, carrying and placement for multiple lighting applications. The 18V ONE+ Cordless LED Hybrid Panel Light is sold as a tool-only, allowing you to build on your ONE+ collection of cordless innovated tools. Best of all, like every RYOBI 18V ONE+ tool the 18V ONE+ Cordles LED Hybrid Panel Light works with any 18V ONE+ battery. Battery and Charger sold separately
Uses high-quality LEDs to produce high outputs of lumens
More durable than halogen or fluorescent
LEDs never need to be replaced
Works with any 18V ONE+ battery
Includes: (1) PCL631B 18V ONE+ LED Hybrid Panel Lightand an operator's manual"
97,RYOBI 18V 120-Watt 12V Car Power Inverter and Power Source. NEW!,$65,,2022-11-03,"North York, ON M6L",https://www.kijiji.ca/v-power-tool/city-of-toronto/ryobi-18v-120-watt-12v-car-power-inverter-and-power-source-new/1639200272,"RYOBI 18V 120-Watt 12V Car Power Inverter and Power Source. NEW!
Brand New in Sealed Package!
RYOBI 18V ONE+ 120-Watt 12V Car Power Inverter with Dual USB Ports
The RYOBI ONE+ 18V/12V Power Inverter provides convenient power whether you are in the car or on-the-move. With 120-Watt of continuous output, this inverter is perfect for powering laptops, tablets, cell phones and other small devices. It is the first in the industry capable of drawing power from either a 12V car power port, or, from one of your RYOBI 18V batteries. The compact and lightweight design is compatible with all of your existing RYOBI 18-Volt ONE+ batteries. Equipped with one 120V outlet and two USB-A ports, we have you covered when it comes to charging and powering at your convenience. Best of all, this inverter is part of the RYOBI ONE+ system of cordless tools.
Compatible with all RYOBI ONE+ 18V batteries
Compatible with 12-Volt DC car power ports
Ideal for laptops, tablets, smart phones and other small electronics
120-Watt of continuous output
Draws power from a 12-Volt car power port or any RYOBI 18-Volt battery
Includes: (1) 12V power adaptor cable, (1) 18V power adaptor cable, (1) 18V inverter, and an operator's manual
Battery sold separately"
98,"PAINT PROTECTION FILM ,WINDOW TINTING
VINYL WRAP TAILLIGHTS TINT",,,2022-11-03,"12 Stafford Dr, Brampton, ON L6W 1L4, Canada",https://www.kijiji.ca/v-power-tool/mississauga-peel-region/paint-protection-film-window-tinting-vinyl-wrap-taillights-tint/1639200167,"SunTek Paint Protection Film is scientifically formulated to create a strong, reliable layer of protection against damage caused by rocks, salt, insects, and other road debris. Its self-healing technology repairs scratches with heat from the sun or an engine."
99,Like New Dewalt 20-Volt MAX XR Lithium-Ion 5Ah Battery Pack.....,$70,,2022-11-03,"Thornhill, ON L4J 5E7",https://www.kijiji.ca/v-power-tool/city-of-toronto/like-new-dewalt-20-volt-max-xr-lithium-ion-5ah-battery-pack/1639200139,"Like New Dewalt 20-Volt MAX XR Lithium-Ion 5Ah Battery Pack.....
Like NEW, used only ONE project.
Manufactured in 2022.
FIRM PRICE.- Premium XR Lithium Ion pack provides up to 60% more capacity than standard 20V MAX* battery pack (DCB200)
- 3-LED Fuel Gauge allows immediate feedback on state of charge
- No Memory and virtually no self-discharge for maximum productivity and less downtime
- Light-weight at 1.4 lbs. and compatible with entire line of 20V MAX tools."
100,New Heavy Duty Metal Based 500 Shts Cerlox Comb Binding Machine,$129,,2022-11-03,"North York, ON M3J 1Y6",https://www.kijiji.ca/v-hand-tool/city-of-toronto/new-heavy-duty-metal-based-500-shts-cerlox-comb-binding-machine/1639200012,"The Metal Based desktop manual Cerlox comb binding and punching combo machine, is ideal for binding reports, booklets, school assignments, documents, etc. with plastic binding combs. It binds up to 500 sheets and punches up to 15 sheets, a great tool for printing shops, professional offices as well as individual users.Key Features:
* Metal based heavy duty for commercial and professional uses
* Manual, no electricity required
* Light weight and easy to use
* Binding capacity: 500 sheets
* Punching capacity: 15 sheets (20 lbs paper)
* Paper size: 8.5""x11"", Letter size
* Holes size: 3 x 8 mm, standard distance 14.3 mm
* Adjustable margin (hole position to edge): 2-6 mm
* Side margin control
* Waste drawer for paper scraps
* Package dimension: 16.5x 12 x 7.5""
* Package weight: nw:11lbs,gw:13lbsPlease call 416-716-6948 before you come.
We have many other printing finishing, imprinting and sign making equipment and supplies. Please visit our website (http://www.focusbinding.com/) or contact us for more info.Focusbinding Factory Outlet:
105 St Regis Crescent South
Toronto, ON M3J 1Y6
(Free parking)Tel: 416-716 6948Store Hours:
Mon - Sat: 9:30am - 5:00pm
After Hours/Sun/Holidays: On Call"
101,14 Inch King Wood/Metal Bandsaw,$850,,2022-11-03,"North York, ON M2R 2M1",https://www.kijiji.ca/v-power-tool/city-of-toronto/14-inch-king-wood-metal-bandsaw/1639199688,"King WA-14M Wood/Metal Bandsaw in great working order. 1-1/2""hp motor wired for 115VAC.
Upgraded to extend rip capacity to 12"", new rubber tires, new tensioning spring and 4"" dust collection port
Throat depth is 12-3/4""
Comes with mobile base and spare blades."
102,"AUTO WINDOW TINTING ,HEADLIGHTS & TAILLIGHTS TINTING",,,2022-11-03,"12 Stafford Dr, Brampton, ON L6W 1L4, Canada",https://www.kijiji.ca/v-hand-tool/mississauga-peel-region/auto-window-tinting-headlights-taillights-tinting/1639199680,"WHEN GETTING YOUR WINDOWS TINTED, CHOOSE COMPUTER-CUT TINT .
AB AUTO SHINE WINDOW TINTING .OFFERS THE BEST COMPUTER-CUT TINT IN THE GTA.
ADDRESS:12 STAFFORD DRIVE BRAMPTON.
CALL AT ; 6478032924"
